"","Tmin","Tmax","a","b","c","num_loops","max_difference","max_iter","threshold"
"result.1",-2,2,0,0,1,10,NA,1,0.5
"result.2",-2,2,0,0,1,10,NA,1,0.5
"result.3",-2,2,0,0,1,10,NA,1,0.5
"result.4",-2,2,0,0,1,10,NA,1,0.5
"result.5",-2,2,0,0,1,10,NA,1,0.5
"result.6",-2,2,0,0,1,10,NA,1,0.5
"result.7",-2,2,0,0,1,10,NA,1,0.5
"result.8",-2,2,0,0,1,10,NA,1,0.5
"result.9",-2,2,0,0,1,10,NA,1,0.5
"result.10",-2,2,0,0,1,10,NA,1,0.5
"result.11",-2,2,0,0,1,10,NA,1,0.5
"result.12",-2,2,0,0,1,10,NA,1,0.5
"result.13",-2,2,0,0,1,10,NA,1,0.5
"result.14",-2,2,0,0,1,10,NA,1,0.5
"result.15",-2,2,0,0,1,10,NA,1,0.5
"result.16",-2,2,0,0,1,10,NA,1,0.5
"result.17",-2,2,0,0,1,10,NA,1,0.5
"result.18",-2,2,0,0,1,10,NA,1,0.5
"result.19",-2,2,0,0,1,10,NA,1,0.5
"result.20",-2,2,0,0,1,10,NA,1,0.5
"result.21",-2,2,0,0,1,10,NA,1,0.5
"result.22",-2,2,0,0,1,10,NA,1,0.5
"result.23",-2,2,0,0,1,10,NA,1,0.5
"result.24",-2,2,0,0,1,10,NA,1,0.5
"result.25",-2,2,0,0,1,10,NA,1,0.5
"result.26",-2,2,0,0,1,10,NA,1,0.5
"result.27",-2,2,0,0,1,10,NA,1,0.5
"result.28",-2,2,0,0,1,10,NA,1,0.5
"result.29",-2,2,0,0,1,10,NA,1,0.5
"result.30",-2,2,0,0,1,10,NA,1,0.5
"result.31",-2,2,0,0,1,10,NA,1,0.5
"result.32",-2,2,0,0,1,10,NA,1,0.5
"result.33",-2,2,0,0,1,10,NA,1,0.5
"result.34",-2,2,0,0,1,10,NA,1,0.5
"result.35",-2,2,0,0,1,10,NA,1,0.5
"result.36",-2,2,0,0,1,10,NA,1,0.5
"result.37",-2,2,0,0,1,10,NA,1,0.5
"result.38",-2,2,0,0,1,10,NA,1,0.5
"result.39",-2,2,0,0,1,10,NA,1,0.5
"result.40",-2,2,0,0,1,10,NA,1,0.5
"result.41",-2,2,0,0,1,10,NA,1,0.5
"result.42",-2,2,0,0,1,10,NA,1,0.5
"result.43",-2,2,0,0,1,10,NA,1,0.5
"result.44",-2,2,0,0,1,10,NA,1,0.5
"result.45",-2,2,0,0,1,10,NA,1,0.5
"result.46",-2,2,0,0,1,10,NA,1,0.5
"result.47",-2,2,0,0,1,10,NA,1,0.5
"result.48",-2,2,0,0,1,10,NA,1,0.5
"result.49",-2,2,0,0,1,10,NA,1,0.5
"result.50",-2,2,0,0,1,10,NA,1,0.5
"result.51",-2,2,0,0,1,10,NA,1,0.5
"result.52",-2,2,0,0,1,10,NA,1,0.5
"result.53",-2,2,0,0,1,10,NA,1,0.5
"result.54",-2,2,0,0,1,10,NA,1,0.5
"result.55",-2,2,0,0,1,10,NA,1,0.5
"result.56",-2,2,0,0,1,10,NA,1,0.5
"result.57",-2,2,0,0,1,10,NA,1,0.5
"result.58",-2,2,0,0,1,10,NA,1,0.5
"result.59",-2,2,0,0,1,10,NA,1,0.5
"result.60",-2,2,0,0,1,10,NA,1,0.5
"result.61",-2,2,0,0,1,10,NA,1,0.5
"result.62",-2,2,0,0,1,10,NA,1,0.5
"result.63",-2,2,0,0,1,10,NA,1,0.5
"result.64",-2,2,0,0,1,10,NA,1,0.5
"result.65",-2,2,0,0,1,10,NA,1,0.5
"result.66",-2,2,0,0,1,10,NA,1,0.5
"result.67",-2,2,0,0,1,10,NA,1,0.5
"result.68",-2,2,0,0,1,10,NA,1,0.5
"result.69",-2,2,0,0,1,10,NA,1,0.5
"result.70",-2,2,0,0,1,10,NA,1,0.5
"result.71",-2,2,0,0,1,10,NA,1,0.5
"result.72",-2,2,0,0,1,10,NA,1,0.5
"result.73",-2,2,0,0,1,10,NA,1,0.5
"result.74",-2,2,0,0,1,10,NA,1,0.5
"result.75",-2,2,0,0,1,10,NA,1,0.5
"result.76",-2,2,0,0,1,10,NA,1,0.5
"result.77",-2,2,0,0,1,10,NA,1,0.5
"result.78",-2,2,0,0,1,10,NA,1,0.5
"result.79",-2,2,0,0,1,10,NA,1,0.5
"result.80",-2,2,0,0,1,10,NA,1,0.5
"result.81",-2,2,0,0,1,10,NA,1,0.5
"result.82",-2,2,0,0,1,10,NA,1,0.5
"result.83",-2,2,0,0,1,10,NA,1,0.5
"result.84",-2,2,0,0,1,10,NA,1,0.5
"result.85",-2,2,0,0,1,10,NA,1,0.5
"result.86",-2,2,0,0,1,10,NA,1,0.5
"result.87",-2,2,0,0,1,10,NA,1,0.5
"result.88",-2,2,0,0,1,10,NA,1,0.5
"result.89",-2,2,0,0,1,10,NA,1,0.5
"result.90",-2,2,0,0,1,10,NA,1,0.5
"result.91",-2,2,0,0,1,10,NA,1,0.5
"result.92",-2,2,0,0,1,10,NA,1,0.5
"result.93",-2,2,0,0,1,10,NA,1,0.5
"result.94",-2,2,0,0,1,10,NA,1,0.5
"result.95",-2,2,0,0,1,10,NA,1,0.5
"result.96",-2,2,0,0,1,10,NA,1,0.5
"result.97",-2,2,0,0,1,10,NA,1,0.5
"result.98",-2,2,0,0,1,10,NA,1,0.5
"result.99",-2,2,0,0,1,10,NA,1,0.5
"result.100",-2,2,0,0,1,10,NA,1,0.5
